,Review,Brand,Variety,Style,Country,Stars
37,2543,koka,curry flavour instant noodles,cup,singapore,5.0
38,2542,acecook,super cup yochan ika yakisoba,tray,japan,1.5
39,2541,nissin,cup noodles very veggie spicy chicken flavor ramen noodle soup,cup,usa,5.0
40,2540,wei lih,gge noodle snack wheat crackers mexican spicy,pack,taiwan,3.25
41,2539,nissin,demae iccho tonkotsu flavour instant noodle,cup,hong kong,3.75
42,2538,nissin,cup noodles very veggie beef flavor ramen noodle soup,cup,usa,5.0
43,2537,nissin,cup noodlestom yam seafood (more shrimptacular),cup,singapore,5.0
44,2536,lele,instant noodles beef,pack,ghana,3.5
45,2535,nissin,cup noodles very veggie chicken flavor ramen noodle soup,cup,usa,5.0
46,2534,fujiwara,hokkaido hakodate shoyu ramen,pack,japan,4.0
47,2533,nongshim,shin ramyun black,pack,south korea,5.0
48,2532,nissin,nippon onomichi ramen,bowl,japan,4.75
49,2531,uni-president,pickled cabbage beef,pack,china,4.25
50,2530,ottogi,ppushu ppushu noodle snack honey butter ,pack,south korea,2.0
51,2529,maruchan,gotsumori chanpon ramen,bowl,japan,4.5
52,2528,prima,juzz's mee creamy chicken flavour (export version),pack,singapore,5.0
53,2527,uni-president,mushroom flavor,pack,vietnam,0.0
54,2526,samyang foods,jjamppong big bowl,bowl,south korea,4.5
55,2525,sokensha,curry udon,pack,japan,3.5
56,2524,nissin,straits reborn laksa,pack,singapore,5.0
57,2523,nongshim,budae jjigae noodle soup,pack,south korea,4.5
58,2522,takamori,hearty japanese style curry udon,pack,japan,5.0
59,2521,nissin,cup noodles potato chips black pepper crab flavour,pack,singapore,4.5
60,2520,nissin,cup noodles blacl pepper crab flavour (more angry crab),cup,singapore,5.0
61,2519,guava story,anchovy flavor guava rice noodles,tray,south korea,1.0
62,2518,samurai ramen,umami ramen,pack,japan,4.0
63,2517,ikeda shoku,nabeyaki tempura udoin,bowl,japan,4.5
64,2516,fujiwara,hokkaido hakodate miso ramen,pack,japan,3.5
65,2515,uni-president,man han feast spicy beef flavor instant noodles,bowl,taiwan,5.0
66,2514,ogasawara,kirin giraffe shoyu ramen,pack,japan,4.5
67,2513,pringles,nissin top ramen chicken flavor potato crisps ,can,usa,3.5
68,2512,mom's dry noodle,dan dan noodle,pack,taiwan,5.0
69,2511,samyang foods,samyang ramen classic edition,bowl,south korea,5.0
70,2510,mykuali,penang red tom yum goong noodle,pack,malaysia,5.0
71,2509,maggi,hot heads green chilli noodles,pack,india,3.5
72,2508,samyang foods,mala buldak bokkeummyun,pack,south korea,3.75
73,2507,indomie,rmy noodlez rumput laut,pack,indonesia,4.0
74,2506,koka,delight chicken flavor instant non-fried noodles,pack,singapore,3.75
75,2505,acecook,super cup torigawa shoyu,bowl,japan,3.5
76,2504,nongshim,shin ramyun,pack,south korea,3.0
77,2503,sichuan guangyou,sweet potato instant noodle sout-hot flavor,bowl,china,0.0
78,2502,indomie,onion chicken flavor,pack,nigeria,1.5
79,2501,happy cook,toona paste noodle,pack,taiwan,4.0
80,2500,the ramen rater select,supreme creamy tom yum noodle,box,malaysia,5.0
81,2499,koka,creamy soup with crushed noodles chicken flavor,cup,singapore,5.0
82,2498,nissin,demae ramen spicy beef,pack,germany,3.75
83,2497,nissin,cup noodles spicy,cup,germany,3.75
84,2496,nissin,soba thai,pack,germany,4.5
85,2495,nissin,cup noodles huhn (chicken),cup,germany,3.75
86,2494,nissin,demae ramen korean kimchi,pack,germany,3.5
87,2493,nissin,cup noodles curry,cup,germany,3.75
88,2492,nissin,smack chili,pack,hungary,3.75
89,2491,nissin,soba yakitori chicken,cup,germany,5.0
90,2490,nissin,demae ramen garlic chicken,pack,germany,3.5
91,2489,nissin,cup noodles ente (duck),cup,germany,3.0
92,2488,nissin,demae ramen thai tom yum,pack,germany,3.75
93,2487,nissin,soba sukiyaki beef,cup,germany,4.5
94,2486,nissin,demae ramen spicy,pack,germany,3.5
95,2485,nissin,cup noodles shrimps,cup,germany,3.0
96,2484,nissin,demae ramen tokyo soy sauce,pack,germany,4.0
97,2483,paldo,bul jjamppong,bowl,south korea,5.0
98,2482,ttl,chicken with chinese shaoxing wine,pack,taiwan,4.75
99,2481,samyang foods,buldak bokkeummyun,cup,south korea,3.75
100,2480,acecook,pork wantan men,bowl,japan,4.25
101,2479,e-zee,instant noodles chicken flavour,pack,malaysia,4.0
102,2478,kiki noodle,scallion oil & soy sauce noodle,pack,taiwan,5.0
103,2477,kiki noodle,sichuan spices flavor noodle,pack,taiwan,5.0
104,2476,samyang foods,kimchi stew ramyun,bowl,south korea,4.0
105,2475,maruchan,seimen red spicy dandan men,bowl,japan,4.75
106,2474,ottogi,ppushu ppushu noodle snack chilli cheese flavor,pack,south korea,4.25
107,2473,tokyo noodle,mini instant noodle mild curry flavor,pack,japan,2.0
108,2472,gge,noodle snack wheat cracks seaweed flavor,pack,taiwan,3.5
109,2471,nissin,cup noodles mini seafood flavour,cup,hong kong,5.0
110,2470,myojo,udon japanese style noodles with soup base hot & sour flavor,pack,usa,3.75
111,2469,koka,signature curry flavor instant noodles,cup,singapore,3.5
112,2468,acecook,dossari yasai chanpon,cup,japan,4.25
113,2467,paldo,volcano curry kkokkomyun,pack,south korea,3.5
114,2466,sau tao,instant noodle king pepper duck flavour soup,pack,hong kong,4.0
115,2465,nissin,cup noodles xo sauce seafood,cup,china,3.75
116,2464,wang,extreme spicy hot chicken flavor udon,bowl,south korea,2.0
117,2463,nissin,gekikara ramen rasa pedas,pack,indonesia,3.25
118,2462,ttl,sesame oil chicken noodle with rice wine,bowl,taiwan,5.0
119,2461,fujiwara,hokkaido hakodate shio ramen,pack,japan,4.5
120,2460,daifuku,katsuo bowl udon,bowl,usa,5.0
121,2459,nissin,cup noodles mug shoyu & seafood,pack,japan,3.5
123,2457,koka,instant noodles chicken satay flavour,pack,singapore,3.5
124,2456,koka,signature spicy singapore fried noodles instant noodles,pack,singapore,4.25
125,2455,koka,creamy soup with crushed noodles sweet corn flavor,cup,singapore,5.0
126,2454,koka,silk beef pho flavor instant rice fettuccine,bowl,singapore,3.25
127,2453,koka,delight spicy sesame flavor instant non-fried noodles,pack,singapore,4.5
128,2452,koka,signature laksa singapura instant noodles,bowl,singapore,5.0
129,2451,koka,delight spicy black pepper flavor instant non-fried noodles,pack,singapore,5.0
130,2450,koka,purple wheat noodles chili & lime flavor,pack,singapore,4.0
131,2449,koka,delight tomato flavor instant non-fried noodles,pack,singapore,5.0
132,2448,koka,seafood flavor instant noodles,cup,singapore,3.5
133,2447,koka,signature stir-fry original flavor instant noodles,pack,singapore,3.0
134,2446,koka,creamy soup witrh crushed noodles curry flavor,cup,singapore,5.0
135,2445,koka,delight laksa singapura flavor instant non-fried noodles,pack,singapore,4.25
136,2444,koka,silk spicy marinara instant rice fettuccine,bowl,singapore,5.0
137,2443,koka,signature chicken flavor instant noodles,cup,singapore,3.75
138,2442,nissin,cup noodles sopa nissin hot sauce con camaron,cup,mexico,3.5
139,2441,mykuali,penang hokkien prawn flavor noodle,box,japan,5.0
140,2440,master kong,roasted pork noodle,pack,china,4.5
141,2439,uni-president,man han feast super hot pot beef flavor instant noodles,bowl,taiwan,5.0
142,2438,world o' noodle,mi goreng original flavour fried noodles,pack,indonesia,5.0
143,2437,nissin,raoh nojyuku toro tonkotsu ramen,bowl,japan,4.5
144,2436,kang shi fu,artificial dongpo's braised pork flavour,pack,hong kong,4.75
145,2435,mum ngon,lau tom chua cay,pack,vietnam,3.5
146,2434,happy cook,old beijing fried bean sauce noodle,pack,taiwan,4.25
147,2433,nissin,cup noodles indonesia mie goreng,cup,japan,3.75
148,2432,fashion food,yummy spicy rice soup with seafood,bowl,thailand,3.5
149,2431,dream kitchen,udon japanese style fresh noodle,bowl,usa,3.75
150,2430,mykuali,meekuali bihun sup rempah perisa daging,pack,malaysia,5.0
151,2429,new touch,t's restaurant sura tanmen,cup,japan,4.0
152,2428,ttl,sesame oil chicken with rice wine noodle,bowl,taiwan,5.0
153,2427,ajinatori,halal chicken shoyu sauce ramen,pack,japan,2.5
154,2426,dr. mcdougall's,vegan pad thai noodle soup,cup,usa,0.0
155,2425,nissin,seafood flavour rice vermicelli,cup,hong kong,5.0
156,2424,samyang foods,cheese type buldak bokkeummyun (black pkg),pack,south korea,3.75
157,2423,ve wong,kung-fu instant oriental noodles soup artificial onion flavor,pack,taiwan,3.5
158,2422,nissin,cup noodles sopa nissin con camaron picante,cup,mexico,3.25
159,2421,uni-president,baseball snack noodle,pack,taiwan,5.0
160,2420,nissin,cup noodles spicy seafood flavor,cup,china,3.75
161,2419,mykuali,penang red tom yum goong,box,japan,5.0
162,2418,myojo,yomise no yakisoba karashi mentaiko flavor,tray,japan,4.5
163,2417,super bihun,bihun kuah rasa baso sapi,pack,indonesia,3.75
164,2416,xiuhe,hot & sour beef noodles,bowl,china,4.25
165,2415,nissin,kitsune udon donbei (west),bowl,japan,5.0
166,2414,little cook,thailand green curry instant noodle,bowl,taiwan,5.0
167,2413,nissin,cup noodles beef flavour,cup,hong kong,2.5
168,2412,shirakiku,sanukiya udon shrimp flavor,pack,usa,3.25
169,2411,mama pat's,chicken fajita flavor instant ramen noodles,pack,usa,3.75
170,2410,mama pat's,lamb stew flavor instant ramen noodles,pack,usa,3.75
171,2409,mama pat's,seafood gumbo flavor instant ramen noodles,pack,usa,3.5
172,2408,mama pat's,chicken taco flavor instant ramen noodles,pack,usa,3.75
173,2407,just way,chuan wei spicy guan-miao noodles,pack,taiwan,4.5
174,2406,sichuan guangyou,sweet potato instant noodle braised spicy chitterling flavor,pack,china,0.25
175,2405,nissin,cup noodles mini spicy seafood,cup,hong kong,4.0
176,2404,mykuali,penang hokkien prawn noodle soup,pack,singapore,5.0
177,2403,goku-uma,yakisoba japanese style noodle,bowl,usa,4.75
178,2402,maggi,nutri-licious pazzta tomato twist,pack,india,3.75
179,2401,sichuan baijia,chongqing noodles burning dry noodles,bowl,china,5.0
180,2400,nissin,cup noodles tom yam seafood flavour,cup,singapore,5.0
181,2399,indomie,my noodles mi goreng pizza cheese,pack,indonesia,4.0
182,2398,liang cheng mai,shaanxi cold noodle: mustard spicy,tray,china,1.0
183,2397,samyang foods,cheese buldak bokkeummyun (black),bowl,south korea,4.0
184,2396,maggi,2 minute noodles chicken flavour,pack,fiji,3.25
185,2395,master kong,chicken flavor instant noolde,pack,china,4.25
186,2394,nissin,cup noodles prawn flavour,cup,hong kong,3.75
187,2393,ripe'n'dry,hokkaido miso ramen,pack,japan,3.0
188,2392,mykuali,penang red tom yum goong rice vermicelli soup,bowl,malaysia,5.0
189,2391,ottogi,jin jjambbong spicy seafood ramyun,pack,south korea,5.0
190,2390,nissin,rice vermicelli pickled vegetable pork flavour,cup,hong kong,3.75
191,2389,gefen,imitation chicken flavor,cup,usa,4.0
192,2388,hua feng,three fresh delicacies instant noodle,pack,china,4.25
193,2387,nissin,demae iccho sesame oil flavour instant noodle,bowl,hong kong,3.5
194,2386,maggi,2 minute noodles curry flavour,pack,fiji,4.0
195,2385,uni-president,man han feast chilli beef flavor instant noodles,bowl,taiwan,4.75
196,2384,sichuan guangyou,9999 chongqing artificial beef flavor instant noodle,pack,china,4.25
197,2383,nissin,cup noodles beef flavor ramen noodle soup (new recipe),cup,usa,3.5
198,2382,nongshim,seaweed instant noodle,cup,south korea,0.5
199,2381,nissin,demae iccho seafood flavour instant noodle,cup,hong kong,4.75
200,2380,pulmuone,non-fried ramyun with spicy beef broth,pack,south korea,3.75
201,2379,nissin,cup noodles hot & spicy shrimp flavor ramen noodle soup (new recipe),cup,usa,2.5
202,2378,sau tao,non-fried mix noodle black pepper xo sauce flavoured,pack,hong kong,4.5
203,2377,mykuali,penang white curry instant noodle (japan version),box,malaysia,5.0
204,2376,nissin,disney cuties instant chicken with corn flavour,cup,thailand,3.25
205,2375,uni-president,man han feast braised pork flavor instant noodles,bowl,taiwan,5.0
206,2374,world o' noodle,mi goreng garlic flavour fried noodles,pack,indonesia,4.5
207,2373,nissin,top ramen atta nooldes masala,pack,india,4.5
208,2372,liu quan,instant spicy rice noodle,bowl,china,4.0
209,2371,daikoku,tanuki soba,cup,japan,3.5
210,2370,samyang foods,zzaldduck buldak bokkeummyun snack,pack,south korea,4.5
211,2369,samyang foods,curry buldak bokkeummyun,pack,south korea,4.25
212,2368,samyang foods,cool/ice buldak bokkeummyun,pack,south korea,3.75
213,2367,samyang foods,2x spicy haek buldak bokkeummyun,pack,south korea,4.0
214,2366,samyang foods,buldak bokkeummyun snack,pack,south korea,5.0
215,2365,samyang foods,stew buldak bokkeumtangmyun,pack,south korea,5.0
216,2364,samyang foods,cheese buldak bokkeummyun,pack,south korea,4.0
217,2363,samyang foods,buldak bokkeummyun (new packaging),pack,south korea,4.0
218,2362,chuan wei wang,bowl instant noodles artificial spicy beef flavor,bowl,china,4.0
219,2361,nissin,demae iccho chicken flavour instant noodle (bowl noodle),bowl,hong kong,5.0
220,2360,wai wai,instant noodles artificial chicken flavoured,pack,india,2.0
221,2359,daikoku,kitsune udon,cup,japan,2.0
222,2358,sichuan baijia,pickled cabbage flavor instant vermicelli,bowl,china,4.0
223,2357,kamfen,noodle king artificial wonton soup flavored,bowl,hong kong,5.0
224,2356,nongshim,spicy shrimp cup noodle,cup,south korea,4.0
225,2355,marutai,nagasaki agodashi shoyu ramen,pack,japan,4.0
226,2354,vifon,viet cuisine bun rieu cua sour crab soup instant rice vermicelli,bowl,vietnam,5.0
227,2353,nissin,"cup noodles rich garlic, egg yolk & oxtail",cup,japan,4.0
228,2352,uni-president,minced pork flavor instant noodles,pack,taiwan,1.0
229,2351,1 to 3 noodles,chatpat masala,pack,india,4.0
230,2350,nissin,cup noodles big xo sauce seafood flavour,cup,hong kong,4.0
231,2349,fantastic,noodles chicken & corn flavour,cup,australia,3.0
232,2348,ripe'n'dry,hokkaido salt ramen,pack,japan,3.0
233,2347,nissin,demae iccho tonkotsu flavour instant noodle (bowl noodle),bowl,hong kong,3.0
234,2346,knorr,chatt patta instant noodles,pack,pakistan,1.0
235,2345,sempio,clam flavor soup kal-guksu,pack,south korea,5.0
236,2344,nissin,cup noodles sopa nissin sabor a pollo,cup,mexico,4.0
237,2343,nissin,maxi sopa nissin cuchareable sabor a jugo de carne,cup,mexico,4.0
238,2342,nissin,sopa nissin sabor a camaron sopa instantanea tipo ramen,pack,mexico,4.0
239,2341,nissin,cup noodles sopa nissin sabor a carne de res,cup,mexico,4.0
240,2340,nissin,rapifideo sabor a tomate y pollo,cup,mexico,4.0
241,2339,nissin,"cup noodles sopa nissin sabor camaron, habanero y limon",cup,mexico,3.0
242,2338,nissin,sopa nissin sabor a pollo sopa instantanea tipo ramen,pack,mexico,4.0
243,2337,nissin,cup noodles sopa nissin con camaron,cup,mexico,3.0
244,2336,nissin,maxi sopa nissin cuchareable sabor a camaron picante,cup,mexico,3.0
245,2335,nissin,cup noodles gourmet sabor a caldo de camaron,cup,mexico,5.0
246,2334,nissin,"sopa nissin sabor mariscos, habanero y limon",cup,mexico,4.0
247,2333,nissin,maxi sopa nissin cuchareable sabor a pollo,cup,mexico,4.0
248,2332,nissin,sopa nissin sabor a res instantanea tipo ramen,pack,mexico,4.0
249,2331,nissin,cup noodles sopa nissin hot sauce sabor a pollo,cup,mexico,4.0
250,2330,ve wong,little prince(ss) brand snack noodles artificial mexican pizza flavor,pack,taiwan,4.0
251,2329,patanjali,atta noodles jhatpat banao befikr khao,pack,india,5.0
252,2328,qin zong,shaanxi cold noot hot & sour flavor,pack,china,3.0
253,2327,nissin,cup noodles spicy lime flavor ramen noodle soup (new recipe),cup,usa,4.0
254,2326,nissin,demae iccho tokyo shoru tonkotsu instant noodle,cup,hong kong,4.0
255,2325,pran,mr. noodles curry flavor instant noodles,pack,bangladesh,4.0
256,2324,paldo,bul jjajangmyeon,pack,south korea,5.0
257,2323,ogasawara,kirin giraffe shio ramen,pack,japan,5.0
258,2322,sapporo ichiban,mie kamayama ramen gyukotsu misoaji,bowl,japan,3.0
259,2321,sau tao,black pepper xo sauce flavour,bowl,hong kong,5.0
260,2320,nissin,nupasta bolognese flavour instant noodle,cup,japan,4.0
261,2319,nongshim,saeutang sabalmyeon,bowl,south korea,3.5
262,2318,happy cook,sichuan spicy flavor,pack,taiwan,5.0
263,2317,mama,instant bowl noodles shrimp (tom yum) flavor base,bowl,thailand,4.0
264,2316,nissin,cup noodle spicy curry chicken,cup,japan,5.0
265,2315,goku-uma,ramen noodles miso flavor,bowl,usa,3.0
266,2314,nissin,cup noodles spicy beef flavour,cup,hong kong,4.0
267,2313,xiao ban mian,sesame oil with garlic flavor thin noodle,pack,taiwan,3.5
268,2312,xiao ban mian,traditional shallot & onion oil noodle,pack,taiwan,5.0
269,2311,xiao ban mian,sesame sauce matcha noodle,pack,taiwan,3.8
270,2310,pran,mr. noodles instant noodles beef flavour,pack,bangladesh,4.0
271,2309,nissin,cup noodles big seafood flavour,cup,hong kong,4.0
272,2308,fantastic,noodles chicken chow mein flavour,cup,australia,4.0
273,2307,ottogi,ramyun sabor pollo,pack,mexico,4.0
274,2306,nissin,demae iccho black garlic oil tonkotsu flavour instant noodles,cup,hong kong,4.0
275,2305,ajinatori,chicken flavor ramen,pack,japan,4.0
276,2304,maggi,2 minute noodles masala spicy,pack,india,5.0
277,2303,maruchan,sopa maruchan sobar a camaron,pack,mexico,3.0
278,2302,nissin,yakisoba,tray,japan,5.0
279,2301,suimin,noodle with oriental chicken flavour,cup,australia,3.0
280,2300,nissin,demae ramen spicy xo sauce seafood flavour instant noodle,pack,hong kong,4.0
281,2299,cintan,mi segera mmm... original,pack,malaysia,3.0
282,2298,nissin,cup noodles spicy chile chicken (new recipe),cup,usa,4.0
283,2297,chuan wei wang,bowl instant noodles artificial beef with sauerkraut flavor,bowl,china,3.0
284,2296,suimin,noodles with chicken flavour,cup,australia,3.0
285,2295,nissin,cup noodles seafood,cup,china,4.0
286,2294,sapporo ichiban,tabimen aizukitakata gyokai shoyu ramen,bowl,japan,4.0
287,2293,nissin,nupasta bacon in carbonara sauce flavour instant noodle,pack,hong kong,5.0
288,2292,sichuan baijia,chongqing noodles spicy hot flavor,pack,china,5.0
289,2291,samyang foods,buldak bokkummyun cheese flavor,pack,south korea,4.0
290,2290,nissin,demae ramen straight noodle black garlic oil tonkotsu flavour instant noodle,pack,hong kong,5.0
291,2289,myojo,shin toyama black ramen,bowl,japan,4.0
292,2288,nissin,cup noodles tom yum goong flavour,cup,hong kong,4.0
293,2287,master kong,artificial abalone crab flavor instant noodle,pack,china,0.0
294,2286,kamfen,noodle king artificial abalone and chicken soup flavored,bowl,hong kong,4.0
295,2285,fantastic,noodles beef flavour,cup,australia,3.0
296,2284,nissin,korean kimchi flavour vermicelli,cup,hong kong,4.0
297,2283,nissin,raoh pork bone soy soup noodle,pack,japan,5.0
298,2282,samyang foods,gold jjamppong fried noodle,pack,south korea,5.0
299,2281,nissin,demae iccho red hot seafood flavour instant noodle,cup,hong kong,4.0
300,2280,sichuan baijia,chongqing noodles hot & sour flavor,pack,china,4.0
301,2279,nissin,demae iccho spicy tonkotsu flavour instant noodle (bowl noodle),bowl,hong kong,5.0
302,2278,nissin,raoh tantanmen,pack,japan,5.0
303,2277,goku-uma,ramen noodles soy sauce flavor,bowl,usa,3.0
304,2276,nissin,cup noodles with shrimp ramen noodle soup (new recipe),cup,usa,3.0
305,2275,jml,hot & sour beef noodles,pack,china,4.0
306,2274,suimin,noodles with braised beef flavour,cup,australia,4.0
307,2273,uni-president,a q bucket noodle korean kimchi flavor,bowl,taiwan,4.0
308,2272,nissin,demae iccho spicy kimchi pot flavour instant noodle (bowl noodle),bowl,hong kong,4.0
309,2271,sichuan baijia,chongqing noodles burning dry noodles,pack,china,5.0
310,2270,samyang foods,fresh bibimmyun fried noodle,pack,south korea,4.0
311,2269,wai wai,instant noodles veg masala flavour,pack,india,4.0
312,2268,nissin,nupasta neapolitan flavour instant noodle,pack,hong kong,5.0
313,2267,shirakiku,karami ramen spicy chili flavour japanese style noodle with soup base,pack,usa,2.0
314,2266,nissin,disney cuties instant noodle crab flavour,cup,thailand,4.0
315,2265,nissin,cup noodles rich soft shelled turle soup,cup,japan,3.0
316,2264,unif tung-i,instant vegetarian beehoon rice vermicelli,pack,taiwan,1.0
317,2263,sichuan baijia,broad noodle artificial beef flavor hot pot,pack,china,4.0
318,2262,dream kitchen,curry flavour instant noodles,cup,usa,5.0
319,2261,tablemark,tohokuno aji yonezawa ramen,bowl,japan,4.0
320,2260,uni-president,science noodle (x'mas edition),pack,taiwan,5.0
321,2259,farmer's heart,pho beef flavor vietnamese rice noodle soup,bowl,usa,3.75
322,2258,kamfen,instant wonton noodles scallop lobster soup flavour,bowl,hong kong,4.3
323,2257,fuku,tom yam soup instant noodle,pack,hong kong,2.3
324,2256,goku-uma,ramen noodles artificially flavored tonkotsu,bowl,usa,3.0
325,2255,daikoku,hiroshima flavor yakisoba,tray,japan,5.0
326,2254,nissin,disney cuties instant noodle seaweed flavour,cup,thailand,3.0
327,2253,singa-me,instant noodles mi goreng flavour,cup,australia,4.0
328,2252,new touch,sugomen sano ramen,bowl,japan,5.0
329,2251,ottogi,ramyon sabor y camaron,pack,mexico,4.0
330,2250,nissin,demae iccho spicy xo sauce seafood flavour,pack,hong kong,4.0
331,2249,love cook,sun dried noodle - fruity soy bean paste,pack,taiwan,4.0
332,2248,nongshim,shin noodle soup,cup,usa,5.0
333,2247,nissin,sapporo noukou miso ramen,bowl,japan,5.0
334,2246,dream kitchen,soy sauce,cup,usa,4.0
335,2245,nissin,vietnamese chicken coriander flavour vermicelli,cup,hong kong,4.0
336,2244,kang shi fu,artificial spicy beef flavour,pack,hong kong,4.0
337,2243,nissin,cup noodles black pepper crab flavour,cup,hong kong,4.0
338,2242,great value,beef style noodles with vegetables,cup,canada,3.0
339,2241,fuku,spicy soup instant noodle beef flavour,pack,hong kong,4.0
340,2240,wang,rice noodle anchovy flavor,bowl,south korea,3.0
341,2239,nissin,cup noodles chicken flavor ramen noodle soup (new recipe),cup,usa,4.0
342,2238,asian thai foods,rumpum gundruk flavour,pack,nepal,1.0
343,2237,nissin,cup noodle light+ bagna cauda,cup,japan,5.0
344,2236,maruchan,gotsumori koku tonkotsu ramen,bowl,japan,4.0
345,2235,fashion food,tom yum shrimp creamy flavour instant noodles,bowl,thailand,4.0
346,2234,paldo,bibim men,bowl,south korea,5.0
347,2233,nissin,cup noodles milk seafood flavour,cup,hong kong,4.0
348,2232,nissin,spicy chikin donburi,bowl,japan,5.0
349,2231,fantastic,noodle chicken flavour,cup,australia,4.0
350,2230,marutai,kuroma-yu tonkotsu kumamoto ramen,pack,japan,4.0
351,2229,kang shi fu,artificial beef with sauerkraut flavour,pack,hong kong,4.0
352,2228,nissin,raoh shoyu ramen,bowl,japan,5.0
353,2227,maruchan,ramen noodle soup sriracha chicken flavor,pack,usa,4.0
354,2226,nagatanien,hiyashi soba taidashi goma,pack,japan,3.0
355,2225,fuku,bowl chicken flavour instant rice vermicelli,bowl,hong kong,4.0
356,2224,wai wai,x-press flavour of pizza in noodles proprietary food,pack,india,4.0
357,2223,koka,rice noodles fragrant chicken pho ga flavour,pack,singapore,4.0
358,2222,nyor nyar,vegetarian penang white curry,pack,malaysia,5.0
359,2221,nissin,cup noodle seafood,cup,japan,5.0
360,2220,paldo,budae jjigae,pack,south korea,5.0
361,2219,fantastic,noodles crispy bacon flavour,cup,australia,1.0
362,2218,tseng noodles,spicy braised pork flavor,pack,taiwan,4.0
363,2217,nissin,demae ramen spicy seafood flavour instant noodle,pack,hong kong,5.0
364,2216,a-sha dry noodle,chow mein spicy flavor,tray,taiwan,3.0
365,2215,myojo,mee goreng spicy flavour,pack,singapore,5.0
366,2214,sapporo ichiban,tabimen nagasaki chanpon,bowl,japan,4.0
367,2213,acecook,oh! ricey pork flavour,pack,vietnam,4.0
368,2212,paldo,bul jjamppong,pack,south korea,4.0
369,2211,nissin,disney cuties instant noodle roast pork flavour,cup,thailand,3.0
370,2210,morre,instant noodles masala,pack,pakistan,4.0
371,2209,nissin,demae ramen spicy hot tonkotsu flavour instant noodle,pack,hong kong,5.0
372,2208,roland,ramen japanese style quick-cooking alimentary paste with chicken artificially flavored soup base,pack,usa,0.0
373,2207,nissin,big cup noodles tonkotsu flavour,cup,hong kong,3.0
374,2206,nissin,deka buto kuro m-yu tonkotsu,bowl,japan,5.0
375,2205,maruchan,bowl taste of asia hearty pork flavor tonkotsu ramen,bowl,usa,4.0
376,2204,nissin,cup noodles sabor galinha caipira,cup,brazil,4.0
377,2203,nongshim,bowl noodle soup independence day limited edition spicy chicken flavor,bowl,usa,4.0
378,2202,nissin,nupasta vongole flavour instant noodle,cup,hong kong,4.0
379,2201,mr. lee's noodles,penang chicken curry laksa,cup,uk,2.0
380,2200,mr. lee's noodles,shaolin monk vegetables,cup,uk,5.0
381,2199,mr. lee's noodles,tai chi chicken,cup,uk,3.0
382,2198,mr. lee's noodles,dragon fire mushroom,cup,uk,3.0
383,2197,mr. lee's noodles,hong kong street beef,cup,uk,5.0
384,2196,mr. lee's noodles,warrior fighting shrimp,cup,uk,3.3
385,2195,nissin,gyorai inaniwa chuka soba,bowl,japan,5.0
